province;red;green;blue;x;x
1;204;229;152;Sitka;x
2;204;179;153;Yakutat;x
3;153;230;153;Kenai;x
4;192;0;0;Dutch Harbor;x
5;192;0;128;Unalakleet;x
6;153;179;153;Whitehorse;x
7;192;128;128;Dawson;x
8;179;204;153;Ross River;x
9;128;64;128;Fort Simpson;x
10;64;128;128;Inuvik;x
11;119;210;74;Echo Bay;x
12;119;128;199;Reliance;x
13;96;64;192;Vancouver;x
14;201;169;171;Vancouver Island;x
15;224;64;192;Prince Rupert;x
16;224;192;192;Glenora;x
17;0;64;128;Atlin;x
18;153;230;204;Fort Saint John;x
19;192;160;0;Prince George;x
20;179;217;153;Kelowna;x
21;179;166;153;Vernon;x
22;192;160;128;Edmonton;x
23;192;64;0;Athabaska Landing;x
24;63;85;151;Jasper;x
25;128;160;128;Banff;x
26;0;224;0;Calgary;x
27;81;141;79;Denwood;x
28;122;120;79;Fort MacLeod;x
29;128;224;0;Medicine Hat;x
30;128;32;64;Regina;x
31;192;96;0;Stanley;x
32;192;96;128;Prince Albert;x
33;128;96;128;Asquith;x
34;192;224;128;Saskatoon;x
35;128;224;128;Maple Creek;x
36;74;142;210;Winnipeg;x
37;128;32;192;Churchill;x
38;64;224;0;Indian Lakes;x
39;192;224;0;Norway House;x
40;122;143;170;Dauphin;x
41;0;160;64;Brandon;x
42;128;160;64;Pembina;x
43;192;64;128;Arviat;x
44;70;70;122;Echo Bay;x
45;0;0;192;Baffin Island;x
46;48;128;64;Toronto;x
47;64;96;0;Fort Severn;x
48;192;160;192;Fort Albany;x
49;130;123;117;Dryden;x
50;64;32;192;Thunder Bay;x
51;48;128;192;Sault Ste Marie;x
52;176;128;192;Sudbury;x
53;176;0;64;Barrie;x
54;0;96;64;Windsor;x
55;176;128;64;Hamilton;x
56;116;74;122;Kingston;x
57;176;0;192;Ottawa;x
58;208;64;192;Montreal;x
59;176;210;74;Nitchequon;x
60;128;224;64;Charles Fort;x
61;128;224;192;Chicoutimi;x
62;192;96;64;Sept-Iles;x
63;48;0;192;Temiscaming;x
64;240;192;128;Trois Rivieres;x
65;176;192;192;Quebec City;x
66;152;117;121;Sherbrooke;x
67;240;64;192;Rimouski;x
68;240;192;64;Fredericton;x
69;112;64;192;Bathurst;x
70;112;192;64;Prince Edward Island;x
71;240;64;64;Halifax;x
72;128;96;192;Truro;x
73;192;96;192;Cape Breton Island;x
74;209;215;159;Saint Johns;x
75;16;160;0;Millertown;x
76;0;96;192;Hopedale;x
77;74;146;55;St Pierre & Miquelon;x
78;0;160;0;Seattle;x
79;32;192;192;Spokane;x
80;160;64;192;Walla Walla;x
81;128;160;0;Portland;x
82;160;192;192;Baker City;x
83;224;224;224;Klamath Falls;x
84;16;128;128;San Francisco;x
85;16;128;0;Eureka;x
86;144;128;0;Sacramento;x
87;144;128;128;Monterey;x
88;134;75;69;Mariposa;x
89;208;0;0;Los Angeles;x
90;80;128;0;San Diego;x
91;115;85;191;Boise;x
92;64;32;128;Coeur D'Alene;x
93;208;0;128;Pocatello;x
94;109;100;92;Carson City;x
95;16;192;0;Elko;x
96;204;24;24;Las Vegas;x
97;144;64;0;Salt Lake City;x
98;86;118;81;Loa;x
99;208;128;128;Moab;x
100;16;64;128;Phoenix;x
101;144;192;0;Flagstaff;x
102;208;128;0;Tucson;x
103;80;64;128;Santa Fe;x
104;192;48;128;Albuquerque;x
105;64;176;128;Las Cruces;x
106;208;64;0;Denver;x
107;80;192;0;Grand Junction;x
108;208;192;0;Alamosa;x
109;144;64;64;Pueblo;x
110;16;192;128;Chyenne;x
111;134;115;72;Cody;x
112;144;192;128;Casper;x
113;80;128;128;Bozeman;x
114;192;32;128;Missoula;x
115;0;96;128;Great Falls;x
116;144;64;128;Billings;x
117;208;0;192;Bismarck;x
118;0;32;192;Minot;x
119;80;128;192;Dickinson;x
120;132;75;214;Sioux Falls;x
121;208;128;192;Dupree;x
122;94;120;119;Rapid City;x
123;16;192;64;Omaha;x
124;208;128;64;Alliance;x
125;144;192;64;North Platte;x
126;144;64;192;Topeka;x
127;16;64;192;Goodland;x
128;16;192;192;Wichita;x
129;144;192;192;Oklahoma City;x
130;122;112;123;Tahlequah;x
131;192;48;64;Okmulgee;x
132;128;48;64;Houston;x
133;0;176;64;Austin;x
134;128;176;192;Dallas;x
135;0;176;192;Lubbock;x
136;208;128;112;El Paso;x
137;128;176;64;San Antonio;x
138;0;48;192;Laredo;x
139;76;108;123;New Orleans;x
140;79;163;196;Baton Rouge;x
141;192;240;128;Lake Charles;x
142;192;112;128;Shreveport;x
143;192;240;0;Little Rock;x
144;64;112;128;Hot Springs;x
145;64;240;0;Fayetteville;x
146;208;0;64;St Louis;x
147;208;64;128;Joplin;x
148;80;192;128;Malden;x
149;80;128;64;Jefferson City;x
150;132;72;126;Kansas City;x
151;144;128;192;Des Moines;x
152;16;128;192;Oskaloosa;x
153;144;0;192;Cedar Rapids;x
154;74;95;122;Sioux City;x
155;90;74;121;Minneapolis;x
156;16;0;192;Granite Falls;x
157;0;160;192;Moorehead;x
158;208;192;128;Duluth;x
159;208;192;64;Milwaukee;x
160;208;64;64;Eau Claire;x
161;128;160;192;Green Bay;x
162;144;0;64;Madison;x
163;16;128;64;Chicago;x
164;80;192;64;Rockford;x
165;128;96;0;Champaign;x
166;64;160;128;Peoria;x
167;144;128;64;Springfield;x
168;0;160;128;Carbondale;x
169;240;64;128;Indianapolis;x
170;112;128;64;Evansville;x
171;153;119;165;South Bend;x
172;192;32;0;Fort Wayne;x
173;112;192;0;Detroit;x
174;148;215;186;Grand Rapids;x
175;64;224;128;Saginaw;x
176;240;192;0;Traverse City;x
177;112;0;64;Marquette;x
178;0;0;144;Cleveland;x
179;112;64;0;Columbus;x
180;208;192;192;Sandusky;x
181;240;64;0;Dayton;x
182;176;192;128;Cincinnati;x
183;108;210;165;Marietta;x
184;240;0;64;Louisville;x
185;176;64;128;Lexington;x
186;43;191;151;Bowling Green;x
187;192;112;0;Paducah;x
188;94;107;77;Nashville;x
189;128;112;128;Memphis;x
190;0;240;192;Knoxville;x
191;163;206;188;Chattanooga;x
192;0;240;128;Jackson;x
193;128;240;128;Vicksburg;x
194;64;112;0;Biloxi;x
195;32;176;0;Montgomery;x
196;0;240;0;Tuscaloosa;x
197;128;112;0;Mobile;x
198;160;48;0;Tallahassee;x
199;192;240;64;St Augustine;x
200;64;112;192;Tampa;x
201;64;112;64;Atlanta;x
202;192;112;64;Valdosta;x
203;22;158;45;Bermuda;x
204;64;240;64;Savannah;x
205;226;240;64;Charleston;x
206;0;112;192;Columbia;x
207;0;112;64;Raleigh;x
208;165;153;119;Winston-Salem;x
209;128;112;192;Charlotte;x
210;0;240;64;WIlmington;x
211;192;176;192;Richmond;x
212;240;0;128;Manassas;x
213;48;64;128;Fredericksburg;x
214;64;176;192;Norfolk;x
215;176;192;0;Staunton;x
216;192;112;192;Roanoke;x
217;176;64;0;Wheeling;x
218;48;192;0;Huntington;x
219;240;128;0;Baltimore;x
220;112;0;128;Washington;x
221;112;128;128;Hagerstown;x
222;112;128;0;Dover;x
223;176;0;0;Philadelphia;x
224;48;128;128;Scranton;x
225;240;128;128;Williamsport;x
226;192;192;128;Harrisburg;x
227;108;73;77;Pittsburgh;x
228;96;109;79;Erie;x
229;161;75;78;Newark;x
230;74;74;176;Trenton;x
231;240;0;0;Atlantic City;x
232;176;128;128;New York;x
233;55;126;85;Long Island;x
234;176;128;0;Albany;x
235;48;0;128;Binghamton;x
236;112;192;128;Buffalo;x
237;48;128;0;Rochester;x
238;176;0;128;Syracuse;x
239;237;199;218;Watertown;x
240;66;212;150;Plattsburgh;x
241;48;64;192;Hartford;x
242;147;154;206;Providence;x
243;165;142;210;Boston;x
244;210;142;210;New Bedford;x
245;176;64;192;Pittsfield;x
246;176;192;64;Burlington;x
247;48;192;64;Concord;x
248;176;64;64;Lewiston;x
249;110;117;123;Bangor;x
250;240;128;192;Caribou;x
251;192;128;64;Nuuk;x
252;128;64;64;Iceland;x
253;139;119;144;Faroe Islands;x
254;104;142;121;Belfast;x
255;160;96;64;Londonderry;x
256;32;224;64;Armagh;x
257;160;192;224;Donegal;x
258;32;224;192;Galway;x
259;160;96;192;Sligo;x
260;224;96;64;Cork;x
261;160;224;192;Limerick;x
262;150;146;121;Waterford;x
263;160;224;64;Dublin;x
264;32;96;192;Kildare;x
265;96;224;64;Wexford;x
266;160;224;0;Aberdeen;x
267;32;224;0;Inverness;x
268;32;96;128;Dundee;x
269;160;224;128;Edinburgh;x
270;160;96;128;Stirling;x
271;32;224;128;Glasgow;x
272;54;56;131;Dumfries;x
273;32;32;192;Cardiff;x
274;160;160;64;Cardigan;x
275;32;160;64;Llandrindod;x
276;160;32;64;Holyhead;x
277;96;224;0;Liverpool;x
278;224;224;0;Manchester;x
279;224;96;0;Carlisle;x
280;96;96;0;Newcastle On Tyne;x
281;224;96;128;Hull;x
282;96;96;128;Leeds;x
283;134;176;33;Sheffield;x
284;32;160;192;Birmingham;x
285;101;97;124;Chester;x
286;160;33;176;Shrewesbury;x
287;96;32;192;Coventry;x
288;224;224;128;Nottingham;x
289;160;160;192;Leicester;x
290;96;224;128;Lincoln;x
291;140;102;123;Cambridge;x
292;224;32;64;Ipswich;x
293;96;160;64;Chelmsford;x
294;96;224;192;Oxford;x
295;224;160;64;St Albans;x
296;224;32;192;Bristol;x
297;96;96;192;Salisbury;x
298;224;224;64;Bath;x
299;96;160;192;Plymouth;x
300;224;224;192;London;x
301;98;89;147;Canterbury;x
